2026-09-06T04:45:02Z p1_start  n_tasks=30 k=16 conc=6 phase=p1_map
2026-09-06T06:48:02Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=4 seed=19 duration_ms=133773 success=True reward=1.0 steps=45 error=None
2026-09-06T06:48:17Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=1 seed=19 duration_ms=148193 success=True reward=1.0 steps=49 error=None
2026-09-06T06:48:29Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=5 seed=19 duration_ms=159951 success=False reward=0.0 steps=50 error=None
2026-09-06T06:48:36Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=3 seed=19 duration_ms=167360 success=False reward=0.0 steps=50 error=None
2026-09-06T06:49:59Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=6 seed=19 duration_ms=123959 success=True reward=1.0 steps=45 error=None
2026-09-06T06:50:10Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=7 seed=19 duration_ms=133726 success=True reward=1.0 steps=46 error=None
2026-09-06T06:50:13Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=8 seed=19 duration_ms=130510 success=True reward=1.0 steps=45 error=None
2026-09-06T06:50:49Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=11 seed=19 duration_ms=133247 success=True reward=1.0 steps=46 error=None
2026-09-06T06:50:54Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=9 seed=19 duration_ms=156820 success=True reward=1.0 steps=50 error=None
2026-09-06T06:50:58Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=10 seed=19 duration_ms=149076 success=True reward=1.0 steps=49 error=None
2026-09-06T06:52:00Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=12 seed=19 duration_ms=121603 success=True reward=1.0 steps=44 error=None
2026-09-06T06:52:21Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=14 seed=19 duration_ms=127942 success=True reward=1.0 steps=45 error=None
2026-09-06T06:52:29Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=13 seed=19 duration_ms=139073 success=True reward=1.0 steps=45 error=None
2026-09-06T06:52:54Z rollout_done  iteration_id=baseline-0019 attempt=0 candidate_id=baseline rollout=15 seed=19 duration_ms=124239 success=True reward=1.0 steps=46 error=None
2026-09-06T06:52:54Z p1_task_done  task_idx=19 task_id=19 k=16 sr=0.875 n_errors=0 wall_s=424.9
2026-09-06T06:55:07Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=5 seed=20 duration_ms=133371 success=False reward=0.0 steps=50 error=None
2026-09-06T06:55:46Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=2 seed=20 duration_ms=172554 success=False reward=0.0 steps=50 error=None
2026-09-06T06:55:53Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=4 seed=20 duration_ms=179126 success=False reward=0.0 steps=50 error=None
2026-09-06T06:55:57Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=3 seed=20 duration_ms=183464 success=False reward=0.0 steps=50 error=None
2026-09-06T06:56:03Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=0 seed=20 duration_ms=188974 success=False reward=0.0 steps=50 error=None
2026-09-06T06:56:04Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=1 seed=20 duration_ms=189939 success=False reward=0.0 steps=50 error=None
2026-09-06T06:57:36Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=6 seed=20 duration_ms=149218 success=False reward=0.0 steps=50 error=None
2026-09-06T06:58:32Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=7 seed=20 duration_ms=165959 success=False reward=0.0 steps=50 error=None
2026-09-06T06:58:47Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=8 seed=20 duration_ms=174331 success=False reward=0.0 steps=50 error=None
2026-09-06T06:58:48Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=9 seed=20 duration_ms=171003 success=False reward=0.0 steps=50 error=None
2026-09-06T06:58:57Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=11 seed=20 duration_ms=173428 success=False reward=0.0 steps=50 error=None
2026-09-06T06:59:50Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=10 seed=20 duration_ms=227134 success=False reward=0.0 steps=50 error=None
2026-09-06T07:00:19Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=12 seed=20 duration_ms=162369 success=False reward=0.0 steps=50 error=None
2026-09-06T07:01:13Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=13 seed=20 duration_ms=160850 success=False reward=0.0 steps=50 error=None
2026-09-06T07:01:29Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=15 seed=20 duration_ms=160955 success=False reward=0.0 steps=50 error=None
2026-09-06T07:01:46Z rollout_done  iteration_id=baseline-0020 attempt=0 candidate_id=baseline rollout=14 seed=20 duration_ms=178726 success=False reward=0.0 steps=50 error=None
2026-09-06T07:01:46Z p1_task_done  task_idx=20 task_id=20 k=16 sr=0.0 n_errors=0 wall_s=532.2
2026-09-06T07:02:15Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=3 seed=21 duration_ms=29501 success=True reward=1.0 steps=7 error=None
2026-09-06T07:02:20Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=5 seed=21 duration_ms=33946 success=True reward=1.0 steps=9 error=None
2026-09-06T07:02:22Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=2 seed=21 duration_ms=35778 success=True reward=1.0 steps=10 error=None
2026-09-06T07:02:22Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=1 seed=21 duration_ms=35974 success=True reward=1.0 steps=10 error=None
2026-09-06T07:02:32Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=4 seed=21 duration_ms=46513 success=True reward=1.0 steps=14 error=None
2026-09-06T07:02:52Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=0 seed=21 duration_ms=66556 success=True reward=1.0 steps=20 error=None
2026-09-06T07:02:53Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=8 seed=21 duration_ms=31326 success=True reward=1.0 steps=9 error=None
2026-09-06T07:02:54Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=7 seed=21 duration_ms=33861 success=True reward=1.0 steps=10 error=None
2026-09-06T07:02:59Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=10 seed=21 duration_ms=26261 success=True reward=1.0 steps=7 error=None
2026-09-06T07:03:04Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=9 seed=21 duration_ms=41988 success=True reward=1.0 steps=13 error=None
2026-09-06T07:03:20Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=11 seed=21 duration_ms=27655 success=True reward=1.0 steps=7 error=None
2026-09-06T07:03:22Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=13 seed=21 duration_ms=28599 success=True reward=1.0 steps=7 error=None
2026-09-06T07:03:32Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=14 seed=21 duration_ms=33826 success=True reward=1.0 steps=10 error=None
2026-09-06T07:03:47Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=15 seed=21 duration_ms=43143 success=True reward=1.0 steps=14 error=None
2026-09-06T07:03:57Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=12 seed=21 duration_ms=64592 success=True reward=1.0 steps=21 error=None
2026-09-06T07:04:15Z rollout_done  iteration_id=baseline-0021 attempt=0 candidate_id=baseline rollout=6 seed=21 duration_ms=120141 success=True reward=1.0 steps=28 error=None
2026-09-06T07:04:15Z p1_task_done  task_idx=21 task_id=21 k=16 sr=1.0 n_errors=0 wall_s=149.7
2026-09-06T07:04:59Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=4 seed=22 duration_ms=43795 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:00Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=5 seed=22 duration_ms=44354 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:00Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=2 seed=22 duration_ms=44384 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:00Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=1 seed=22 duration_ms=44489 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:00Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=3 seed=22 duration_ms=44643 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:00Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=0 seed=22 duration_ms=44981 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:43Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=6 seed=22 duration_ms=43611 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:45Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=11 seed=22 duration_ms=44690 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:45Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=7 seed=22 duration_ms=45334 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:45Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=8 seed=22 duration_ms=45341 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:46Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=9 seed=22 duration_ms=45686 success=True reward=1.0 steps=13 error=None
2026-09-06T07:05:46Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=10 seed=22 duration_ms=45928 success=True reward=1.0 steps=13 error=None
2026-09-06T07:06:25Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=12 seed=22 duration_ms=41941 success=True reward=1.0 steps=13 error=None
2026-09-06T07:06:27Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=15 seed=22 duration_ms=41899 success=True reward=1.0 steps=13 error=None
2026-09-06T07:06:28Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=14 seed=22 duration_ms=43002 success=True reward=1.0 steps=13 error=None
2026-09-06T07:06:28Z rollout_done  iteration_id=baseline-0022 attempt=0 candidate_id=baseline rollout=13 seed=22 duration_ms=43213 success=True reward=1.0 steps=13 error=None
2026-09-06T07:06:28Z p1_task_done  task_idx=22 task_id=22 k=16 sr=1.0 n_errors=0 wall_s=132.9
2026-09-06T07:07:10Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=3 seed=23 duration_ms=41585 success=True reward=1.0 steps=13 error=None
2026-09-06T07:07:17Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=2 seed=23 duration_ms=49020 success=True reward=1.0 steps=16 error=None
2026-09-06T07:07:41Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=5 seed=23 duration_ms=73027 success=True reward=1.0 steps=26 error=None
2026-09-06T07:07:44Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=1 seed=23 duration_ms=75290 success=True reward=1.0 steps=27 error=None
2026-09-06T07:07:44Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=4 seed=23 duration_ms=75447 success=True reward=1.0 steps=27 error=None
2026-09-06T07:08:16Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=8 seed=23 duration_ms=35087 success=True reward=1.0 steps=12 error=None
2026-09-06T07:08:19Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=6 seed=23 duration_ms=68981 success=True reward=1.0 steps=27 error=None
2026-09-06T07:08:23Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=9 seed=23 duration_ms=39213 success=True reward=1.0 steps=13 error=None
2026-09-06T07:08:27Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=7 seed=23 duration_ms=69749 success=True reward=1.0 steps=27 error=None
2026-09-06T07:08:53Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=10 seed=23 duration_ms=69122 success=True reward=1.0 steps=27 error=None
2026-09-06T07:08:53Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=12 seed=23 duration_ms=34531 success=True reward=1.0 steps=12 error=None
2026-09-06T07:09:04Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=14 seed=23 duration_ms=37233 success=True reward=1.0 steps=13 error=None
2026-09-06T07:09:27Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=11 seed=23 duration_ms=70220 success=True reward=1.0 steps=27 error=None
2026-09-06T07:09:36Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=13 seed=23 duration_ms=73165 success=True reward=1.0 steps=27 error=None
2026-09-06T07:09:40Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=0 seed=23 duration_ms=192052 success=False reward=0.0 steps=50 error=None
2026-09-06T07:10:01Z rollout_done  iteration_id=baseline-0023 attempt=0 candidate_id=baseline rollout=15 seed=23 duration_ms=68217 success=True reward=1.0 steps=27 error=None
2026-09-06T07:10:01Z p1_task_done  task_idx=23 task_id=23 k=16 sr=0.938 n_errors=0 wall_s=212.8
2026-09-06T07:10:35Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=4 seed=24 duration_ms=34290 success=True reward=1.0 steps=9 error=None
2026-09-06T07:10:36Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=0 seed=24 duration_ms=34384 success=True reward=1.0 steps=9 error=None
2026-09-06T07:10:36Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=3 seed=24 duration_ms=34389 success=True reward=1.0 steps=9 error=None
2026-09-06T07:10:36Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=5 seed=24 duration_ms=34432 success=True reward=1.0 steps=9 error=None
2026-09-06T07:10:36Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=1 seed=24 duration_ms=34459 success=True reward=1.0 steps=9 error=None
2026-09-06T07:10:36Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=2 seed=24 duration_ms=34478 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=8 seed=24 duration_ms=33970 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=11 seed=24 duration_ms=34233 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=6 seed=24 duration_ms=34799 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=7 seed=24 duration_ms=34776 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=9 seed=24 duration_ms=34755 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:10Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=10 seed=24 duration_ms=34878 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:42Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=12 seed=24 duration_ms=32143 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:43Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=14 seed=24 duration_ms=32313 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:43Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=15 seed=24 duration_ms=32847 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:43Z rollout_done  iteration_id=baseline-0024 attempt=0 candidate_id=baseline rollout=13 seed=24 duration_ms=33376 success=True reward=1.0 steps=9 error=None
2026-09-06T07:11:43Z p1_task_done  task_idx=24 task_id=24 k=16 sr=1.0 n_errors=0 wall_s=102.1
2026-09-06T07:12:06Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=1 seed=25 duration_ms=23192 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:06Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=3 seed=25 duration_ms=23203 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:07Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=4 seed=25 duration_ms=23577 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:07Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=5 seed=25 duration_ms=23611 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:07Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=0 seed=25 duration_ms=23715 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:07Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=2 seed=25 duration_ms=23817 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:31Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=7 seed=25 duration_ms=24110 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:31Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=10 seed=25 duration_ms=24279 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:31Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=8 seed=25 duration_ms=24585 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:32Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=11 seed=25 duration_ms=24549 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:32Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=6 seed=25 duration_ms=25261 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:32Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=9 seed=25 duration_ms=24846 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:53Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=12 seed=25 duration_ms=22413 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:54Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=13 seed=25 duration_ms=22305 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:55Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=15 seed=25 duration_ms=23125 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:57Z rollout_done  iteration_id=baseline-0025 attempt=0 candidate_id=baseline rollout=14 seed=25 duration_ms=25555 success=True reward=1.0 steps=5 error=None
2026-09-06T07:12:57Z p1_task_done  task_idx=25 task_id=25 k=16 sr=1.0 n_errors=0 wall_s=73.7
2026-09-06T07:15:16Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=1 seed=26 duration_ms=139375 success=True reward=1.0 steps=47 error=None
2026-09-06T07:15:19Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=3 seed=26 duration_ms=141726 success=True reward=1.0 steps=47 error=None
2026-09-06T07:15:37Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=5 seed=26 duration_ms=160023 success=False reward=0.0 steps=50 error=None
2026-09-06T07:15:38Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=0 seed=26 duration_ms=161242 success=False reward=0.0 steps=50 error=None
2026-09-06T07:15:41Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=4 seed=26 duration_ms=163994 success=False reward=0.0 steps=50 error=None
2026-09-06T07:15:43Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=2 seed=26 duration_ms=166299 success=False reward=0.0 steps=50 error=None
2026-09-06T07:17:16Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=6 seed=26 duration_ms=119267 success=True reward=1.0 steps=45 error=None
2026-09-06T07:17:26Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=7 seed=26 duration_ms=126967 success=True reward=1.0 steps=47 error=None
2026-09-06T07:17:33Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=8 seed=26 duration_ms=115790 success=True reward=1.0 steps=45 error=None
2026-09-06T07:17:45Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=10 seed=26 duration_ms=124020 success=True reward=1.0 steps=47 error=None
2026-09-06T07:18:05Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=9 seed=26 duration_ms=146487 success=False reward=0.0 steps=50 error=None
2026-09-06T07:18:12Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=11 seed=26 duration_ms=148230 success=False reward=0.0 steps=50 error=None
2026-09-06T07:19:27Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=13 seed=26 duration_ms=121441 success=True reward=1.0 steps=47 error=None
2026-09-06T07:19:37Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=14 seed=26 duration_ms=123837 success=True reward=1.0 steps=47 error=None
2026-09-06T07:19:40Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=12 seed=26 duration_ms=144516 success=False reward=0.0 steps=50 error=None
2026-09-06T07:20:04Z rollout_done  iteration_id=baseline-0026 attempt=0 candidate_id=baseline rollout=15 seed=26 duration_ms=138763 success=False reward=0.0 steps=50 error=None
2026-09-06T07:20:04Z p1_task_done  task_idx=26 task_id=26 k=16 sr=0.5 n_errors=0 wall_s=426.8
2026-09-06T07:22:33Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=5 seed=27 duration_ms=149205 success=False reward=0.0 steps=50 error=None
2026-09-06T07:22:34Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=0 seed=27 duration_ms=150348 success=False reward=0.0 steps=50 error=None
2026-09-06T07:22:37Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=4 seed=27 duration_ms=152737 success=False reward=0.0 steps=50 error=None
2026-09-06T07:22:44Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=2 seed=27 duration_ms=160238 success=False reward=0.0 steps=50 error=None
2026-09-06T07:22:47Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=1 seed=27 duration_ms=163255 success=False reward=0.0 steps=50 error=None
2026-09-06T07:22:56Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=3 seed=27 duration_ms=172458 success=False reward=0.0 steps=50 error=None
2026-09-06T07:24:42Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=8 seed=27 duration_ms=125409 success=False reward=0.0 steps=50 error=None
2026-09-06T07:24:44Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=6 seed=27 duration_ms=130601 success=False reward=0.0 steps=50 error=None
2026-09-06T07:24:46Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=9 seed=27 duration_ms=122177 success=False reward=0.0 steps=50 error=None
2026-09-06T07:24:51Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=10 seed=27 duration_ms=123632 success=False reward=0.0 steps=50 error=None
2026-09-06T07:24:56Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=7 seed=27 duration_ms=141543 success=False reward=0.0 steps=50 error=None
2026-09-06T07:25:04Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=11 seed=27 duration_ms=127559 success=False reward=0.0 steps=50 error=None
2026-09-06T07:26:44Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=12 seed=27 duration_ms=122512 success=False reward=0.0 steps=50 error=None
2026-09-06T07:26:49Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=13 seed=27 duration_ms=125472 success=False reward=0.0 steps=50 error=None
2026-09-06T07:26:52Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=14 seed=27 duration_ms=125889 success=False reward=0.0 steps=50 error=None
2026-09-06T07:27:13Z rollout_done  iteration_id=baseline-0027 attempt=0 candidate_id=baseline rollout=15 seed=27 duration_ms=142449 success=False reward=0.0 steps=50 error=None
2026-09-06T07:27:13Z p1_task_done  task_idx=27 task_id=27 k=16 sr=0.0 n_errors=0 wall_s=429.4
2026-09-06T07:29:55Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=2 seed=28 duration_ms=161932 success=False reward=0.0 steps=50 error=None
2026-09-06T07:29:57Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=1 seed=28 duration_ms=164201 success=True reward=1.0 steps=50 error=None
2026-09-06T07:29:59Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=0 seed=28 duration_ms=165560 success=True reward=1.0 steps=50 error=None
2026-09-06T07:30:00Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=3 seed=28 duration_ms=167254 success=False reward=0.0 steps=50 error=None
2026-09-06T07:30:03Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=4 seed=28 duration_ms=169549 success=False reward=0.0 steps=50 error=None
2026-09-06T07:30:08Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=5 seed=28 duration_ms=174451 success=False reward=0.0 steps=50 error=None
2026-09-06T07:32:23Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=8 seed=28 duration_ms=143807 success=True reward=1.0 steps=41 error=None
2026-09-06T07:32:28Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=6 seed=28 duration_ms=152545 success=True reward=1.0 steps=50 error=None
2026-09-06T07:32:31Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=10 seed=28 duration_ms=147931 success=True reward=1.0 steps=50 error=None
2026-09-06T07:32:34Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=11 seed=28 duration_ms=146410 success=True reward=1.0 steps=50 error=None
2026-09-06T07:32:37Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=9 seed=28 duration_ms=156217 success=False reward=0.0 steps=50 error=None
2026-09-06T07:32:39Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=7 seed=28 duration_ms=161659 success=False reward=0.0 steps=50 error=None
